year;id;extends;predecessors;name;developers;companies;wiki;paradigm;;;
1790;jacquard.1790;unique;;Jacquard loom (concept);Joseph Marie Jacquard;;Jacquard_machine;;;;
1801;jacquard.1801;jacquard.1790;;Jacquard machine (implementation);Joseph Marie Jacquard;;Jacquard_machine;;;;
1837;babl1;jacquard.1801;;BAB L1;Charles Babbage;;Analytical_engine;;;;
1843;noteg;babl1;;Note G;Ada Lovelace;;Note_G;;;;
1879;begriffsschrift;unique;;Begriffsschrift;Gottlob Frege;;Begriffsschrift;;;;
1943;plankalkul.1943;unique;;Plankalkül;Konrad Zuse;;Plankalk%C3%BCl;;;;
1943;eniac.1943;unique;;ENIAC coding system;John von Neumann, John Mauchly, J. Presper Eckert, and Herman Goldstine after Alan Turing;US Army, University of Pennsylvania;ENIAC;;;;
1946;eniac.1946;eniac.1943;;ENIAC Short Code;Richard Clippinger and John von Neumann after Alan Turing;US Army, University of Pennsylvania;ENIAC#Programming_languages;;;;
1947;arc;eniac.1946;;ARC/Birkbeck Assembler;Kathleen Booth;;;;;;
1947;assemblylanguage;;;Assembly language;Kathleen Booth;Various;Assembly_language;imperative;untyped;;
1948;plankalkul.1948;plankalkul.1943;;Plankalkül (publication);Konrad Zuse;;Plankalk%C3%BCl;procedural;;;
1949;edsac;eniac.1943;;EDSAC Initial Orders;David Wheeler;;;;;;
1949;briefcode;eniac.1946;;Brief Code;John Mauchly, William F. Schmitt;;;;;;
1950;shortcode;briefcode;;Short Code (for UNIVAC I);William F. Schmitt;;Short_Code_(computer_language);;;;
1951;algae;;;ALGAE;Edward A. Voorhees, Karl Balke;;;;;;
1951;boehm;CPC Coding scheme;;Boehm unnamed coding system;Corrado Böhm;;;;;;
1951;ipl;Short Code;;IPL;Arthur Burks;;;;;;
1951;klammerausdrcke;Plankalkül;;Klammerausdrücke;Konrad Zuse;;;;;;
1951;sortmergegenerator;;;Sort Merge Generator;Betty Holberton;;;;;;
1951;stanislaus;;;Stanislaus;Fritz Bauer;;;;;;
1951;superplan;Plankalkül;;Superplan;Heinz Rutishauser;;Superplan;;;;
1951;microcode;;;Microcode;Maurice Wilkes;University of Cambridge;Microassembler;instructional;low-level;CPU internal control logic;en.wikipedia.org
1952;a0system;Short Code;;A-0 System;Grace Hopper;;A-0_System;;;;
1952;compool;;;COMPOOL;;RAND,SDC;;;;;
